branch_id,customer_id,loan_id,loan_amount,first_name,last_name,city,phone_number,occupation,dob,branch_name,branch_state
B00025,C00098,L00270,2732407,Juan,Green,North Steventown,5315720080,Pilot,1923-01-10,LA00024,Louisiana
B00039,C00099,L00310,460677,Randy,Garcia,North Nathan,5087179308,Nurse,1913-06-26,CO00038,Colorado
B00010,C00101,L00337,6017282,Anthony,Randolph,Port Justin,5505156129,Waiter,1980-09-20,PA00009,Pennsylvania
B00012,C00102,L00123,7163230,Kathryn,Griffin,Brittanytown,3014653382,Priest,1991-03-24,NH00011,New Hampshire
B00039,C00107,L00311,1276192,Kristina,Myers,East Benjaminshire,5650626795,Magician,1983-03-03,CO00038,Colorado
B00035,C00108,L00144,3192074,Raymond,Gonzalez,New Kenneth,5659043935,Diver,1958-06-18,NC00034,North Carolina
B00027,C00112,L00313,8137845,Jodi,Dunn,Lawsonton,7900024441,Pirate,1952-09-30,VA00026,Virginia
B00023,C00114,L00285,6764418,Donna,Edwards,Port Alexander,3994752874,American football player,1926-04-28,UT00022,Utah
B00016,C00116,L00254,7349141,Megan,Hughes,East Andrew,8266444839,Photographer,1981-05-14,NM00015,New Mexico
B00039,C00118,L00291,5992384,David,Murray,Lake Daniel,1981222636,Footballer,1982-01-09,CO00038,Colorado
B00035,C00122,L00078,8500700,Kevin,Vance,South Aliciafort,427247000,Painter,1917-12-03,NC00034,North Carolina
B00011,C00123,L00014,9179391,Lisa,Ross,Stewartland,1261674860,Engineer,1969-04-08,NC00010,North Carolina
B00020,C00124,L00475,3523512,Christina,Montgomery,Amyville,5970912068,Professor,1914-10-26,NY00019,New York
B00011,C00125,L00164,3213118,Andrea,Guzman,Yorkville,7199934291,Farmer,1925-04-17,NC00010,North Carolina
B00025,C00127,L00262,2538129,Julie,Carpenter,Pagefurt,6604764870,Footballer,1948-08-08,LA00024,Louisiana
B00012,C00129,L00365,8316460,Cindy,Gallegos,Jacksonborough,4571782083,Priest,1938-05-16,NH00011,New Hampshire
B00015,C00131,L00400,9154822,Bradley,Dixon,East Adamhaven,2322239140,Secretary,2001-10-20,MD00014,Maryland
B00037,C00132,L00427,5074396,Christopher,Johnson,Rebekahhaven,4835472307,Dentist,1934-06-03,WI00036,Wisconsin
B00010,C00133,L00128,7633409,Patrick,Watson,Lake Kennethmouth,1674044570,Catholic nun,1935-07-15,PA00009,Pennsylvania
B00005,C00135,L00185,5666213,Marisa,Holt,Candicemouth,9579466356,Catholic nun,1925-02-17,NV00004,Nevada
B00046,C00136,L00042,5435211,Kirk,Barnes,Brendabury,9711886725,Footballer,1967-07-06,NV00045,Nevada
B00002,C00139,L00072,9947049,Kimberly,Garcia,East Anthonyside,5303922525,Fireman,2003-06-16,NE00001,Nebraska
B00030,C00143,L00389,382920,John,Jenkins,Shariview,1256711588,Clown,1996-10-08,HI00029,Hawaii
B00032,C00148,L00290,6773476,Daniel,Morrow,Port Tonyaberg,6111383880,Doorman,1953-09-03,RI00031,Rhode Island
B00041,C00149,L00258,7896441,Brittney,Murray,Lake Marcusfurt,6220363030,Paramedic,1931-06-14,OR00040,Oregon
B00016,C00151,L00088,7945069,Alicia,Frederick,South Davidmouth,4688569605,Footballer,1917-06-05,NM00015,New Mexico
B00016,C00152,L00251,5021930,Donna,Cooper,Lake Jeremiahport,3253907221,Scientist,1986-05-05,NM00015,New Mexico
B00042,C00153,L00186,3238885,Elijah,Graham,Ruizport,8978017504,Footballer,1921-06-12,WY00041,Wyoming
B00021,C00155,L00200,1288268,Michael,Mcintyre,West Thomasborough,4267874140,Singer,1921-05-25,WI00020,Wisconsin
B00018,C00159,L00416,4935759,Cathy,Peterson,Powersport,2139730819,Salesman,2002-04-04,LA00017,Louisiana
B00026,C00160,L00104,773990,Stephanie,Carter,New Anthony,7464359137,Soldier,1919-06-25,HI00025,Hawaii
B00046,C00162,L00413,3776666,Joann,Davis,West Claudia,1898901410,Mechanic,2001-12-14,NV00045,Nevada
B00005,C00164,L00393,9333302,Mary,Pollard,New Jennifer,3022695282,Secretary,1954-01-12,NV00004,Nevada
B00032,C00168,L00425,3367026,Alan,Bauer,Molinafort,6613973,Postman,1920-02-20,RI00031,Rhode Island
B00028,C00175,L00053,551776,Lynn,Hill,Fryeville,2924801789,Doorman,1954-04-14,PR00027,Puerto Rico
B00017,C00177,L00350,6987901,Anthony,Rodriguez,New Steven,9852185350,Scientist,1981-08-05,SD00016,South Dakota
B00018,C00180,L00207,8463744,Zachary,Hubbard,North Danielbury,3560962309,Doctor,1962-03-13,LA00017,Louisiana
B00043,C00181,L00294,4526087,Kenneth,Mcbride,West Angelicaville,7710637464,Geisha,1948-05-08,AK00042,Alaska
B00002,C00182,L00198,1887270,Amanda,Aguilar,West Josephville,7391902150,Carpenter,1981-12-08,NE00001,Nebraska
B00037,C00186,L00080,2241766,Brian,Durham,New Sandra,7863175316,Geisha,1942-06-07,WI00036,Wisconsin
B00023,C00188,L00316,9039154,Edwin,Madden,Charlesmouth,6429627597,Secretary,1962-04-15,UT00022,Utah
B00022,C00190,L00116,1409555,Sara,Miller,Melaniehaven,4334984742,Lunchroom supervisor,1925-04-11,WA00021,Washington
B00044,C00191,L00021,550458,Kayla,Hancock,South William,4597765439,Pirate,1922-10-01,NC00043,North Carolina
B00023,C00192,L00492,2847568,Kimberly,Martinez,North Morgan,6414963963,American football player,1980-06-13,UT00022,Utah
B00020,C00193,L00209,1645972,Ashley,Anderson,North Matthewbury,3417194722,Doorman,1974-09-17,NY00019,New York
B00008,C00194,L00237,8651993,Christopher,Benton,Summerland,3083116317,Journalist,1971-02-10,ME00007,Maine
B00008,C00195,L00388,7290743,Tammie,Cruz,South Jamie,3393812460,Businessman,1971-09-19,ME00007,Maine
B00038,C00200,L00464,6191481,Dennis,White,Lake Mark,1566286207,Flight attendant,1995-08-23,MO00037,Missouri
B00024,C00201,L00211,9540513,Elijah,Stone,New Christophertown,5613008899,Construction worker,1954-07-23,AL00023,Alabama
B00029,C00202,L00289,9554806,Raymond,Hill,North Ashley,3839502196,Pilot,1961-11-06,MN00028,Minnesota
B00006,C00203,L00392,4031374,Aimee,Spence,Raymondside,3557982575,Flight attendant,2005-06-19,ME00005,Maine
B00009,C00204,L00102,5301178,Jason,Hoffman,North Karenchester,3143534817,Police officer,1973-09-05,IA00008,Iowa
B00001,C00207,L00487,9619271,Teresa,Hall,Lake Holly,843313040,Fireman,1971-07-02,ND00000,North Dakota
B00021,C00208,L00497,8541952,Gary,Bailey,East Mistyside,4840157557,Diver,1998-05-20,WI00020,Wisconsin
B00042,C00212,L00219,1912222,Jessica,Turner,West Robertborough,8224767749,Mechanic,2000-11-20,WY00041,Wyoming
B00042,C00213,L00358,1151580,Stephanie,Romero,Michaelbury,1461047513,Pilot,2002-08-09,WY00041,Wyoming
B00041,C00214,L00055,4715178,Heather,Diaz,Stephenberg,4193502146,Electrician,1919-02-21,OR00040,Oregon
B00045,C00216,L00071,2805117,Dawn,Simmons,Rogertown,8419746030,Construction worker,1924-08-03,CA00044,California
B00045,C00217,L00379,601310,Christian,Elliott,West Jessicachester,8895151575,Cameraman,1968-08-09,CA00044,California
B00041,C00218,L00025,1960183,Judith,Manning,West Joelchester,8272325382,Detective,1999-12-21,OR00040,Oregon
B00020,C00219,L00215,5155730,Christopher,Jackson,South Dianafort,2871083112,Engineer,1946-07-01,NY00019,New York
B00045,C00220,L00176,1421971,Amanda,Holmes,New Kevin,970432168,Journalist,1995-03-31,CA00044,California
B00050,C00222,L00153,9808661,Carolyn,Conley,Robertland,3624337155,Engineer,1948-02-29,MO00049,Missouri
B00013,C00224,L00141,9009884,Robert,Lambert,West Jeff,2802118938,Scientist,1932-05-27,SC00012,South Carolina
B00050,C00225,L00276,8976041,Alicia,Campbell,Davidchester,3364051752,Librarian,1928-08-21,MO00049,Missouri
B00048,C00226,L00084,8344205,April,Gilbert,Conleyburgh,4425271973,Lifeguard,1957-03-01,DE00047,Delaware
B00015,C00228,L00103,5060788,Christopher,Brown,Paultown,9058719935,Pilot,1996-12-01,MD00014,Maryland
B00043,C00230,L00414,4496534,William,Stanley,Glennhaven,2573626197,Magician,1947-11-14,AK00042,Alaska
B00029,C00231,L00112,5942003,Diana,Taylor,Georgehaven,5821189260,Mechanic,1949-02-16,MN00028,Minnesota
B00027,C00234,L00016,5514197,Jamie,Brown,Scottmouth,6608535827,Pope,1955-08-31,VA00026,Virginia
B00049,C00235,L00255,2861517,William,King,South Emily,5378593609,Surgeon,1993-03-27,VA00048,Virginia
B00036,C00237,L00390,8480067,Ronald,Martin,Westville,2060319841,Singer,2005-02-16,IL00035,Illinois
B00006,C00238,L00066,3668995,Casey,Stout,Derekstad,1740126126,Librarian,1948-07-17,ME00005,Maine
B00031,C00240,L00442,3752940,Jason,Jones,Port Robert,7067732921,Architect,1932-03-21,NH00030,New Hampshire
B00038,C00241,L00172,7559499,Sonya,Hart,Mirandaberg,3729137404,Lunchroom supervisor,1998-04-25,MO00037,Missouri
B00039,C00242,L00091,144078,Dawn,Martinez,Blakefort,9776074394,Postman,1952-08-30,CO00038,Colorado
B00043,C00243,L00446,6193013,Jason,Clarke,New Oliviatown,7734578395,Priest,1916-03-31,AK00042,Alaska
B00042,C00245,L00467,990091,Trevor,Cole,Alvarezfurt,5566057830,Student,1956-05-23,WY00041,Wyoming
B00025,C00247,L00150,1126694,Jennifer,Koch,Dixonfort,9758183321,Paramedic,1996-02-19,LA00024,Louisiana
B00004,C00249,L00403,3942603,Kim,Pope,New Jeremy,1825253384,Priest,1980-05-12,MO00003,Missouri
B00032,C00251,L00300,6999280,Jessica,Price,Jacobstad,4486157436,Soldier,1946-07-05,RI00031,Rhode Island
B00009,C00253,L00126,7767952,Jill,Foster,South Samanthaborough,9654776319,Postman,1936-03-31,IA00008,Iowa
B00010,C00254,L00468,3079744,Stephen,Jones,Huffmanchester,7223417558,Priest,2005-01-30,PA00009,Pennsylvania
B00001,C00256,L00417,8567088,Victoria,Bell,Port Stacey,1331322485,Doctor,1991-09-19,ND00000,North Dakota
B00007,C00258,L00362,687404,Amanda,Phillips,Geraldstad,3015188479,Librarian,1979-11-28,NY00006,New York
B00029,C00259,L00241,3974074,Lisa,Hays,Port Richardchester,4390914359,Architect,1963-01-02,MN00028,Minnesota
B00023,C00260,L00213,8525432,Becky,Harrison,Austinfurt,4513290128,Architect,1993-09-29,UT00022,Utah
B00028,C00262,L00366,845675,Brittney,Kelly,Bowmanton,3705554737,Catholic nun,1973-10-25,PR00027,Puerto Rico
B00003,C00263,L00059,9272674,Jenna,Collins,Jasonchester,8823760819,Carpenter,1998-03-04,CT00002,Connecticut
B00041,C00264,L00181,6140665,Dan,Patel,East Melvin,3523014813,Magician,1991-12-02,OR00040,Oregon
B00047,C00265,L00409,3241397,Danny,Gross,Port Amanda,6950533927,Librarian,1934-03-30,AZ00046,Arizona
B00047,C00267,L00305,4286693,Melissa,Hill,South Staceyfurt,5513866065,Scientist,2003-02-19,AZ00046,Arizona
B00001,C00272,L00284,501676,Shawn,Peterson,Zhangmouth,6430605378,Construction worker,1939-06-09,ND00000,North Dakota
B00004,C00273,L00424,3727040,Brittany,Stone,South Lesliechester,2260374390,Architect,2002-09-09,MO00003,Missouri
B00035,C00274,L00095,808086,Nicole,West,Bradleyshire,6297921158,Diver,1969-02-26,NC00034,North Carolina
B00020,C00276,L00302,6400750,Patricia,Parker,Lawsonview,3511066746,Pirate,1993-01-08,NY00019,New York
B00011,C00278,L00108,2540369,Timothy,Preston,Elizabethstad,5658316945,Catholic nun,1920-10-29,NC00010,North Carolina
B00007,C00279,L00074,5338116,Abigail,Mason,Port Kellyville,2667384462,Salesman,1965-09-16,NY00006,New York
B00012,C00281,L00343,5020678,Theresa,Cowan,East Melindastad,2567310483,Detective,1930-09-09,NH00011,New Hampshire
B00029,C00285,L00348,1415593,Jason,Hayes,Alisonton,7059789533,Student,1962-09-26,MN00028,Minnesota
B00047,C00286,L00321,7108304,Eric,Thomas,Rossport,4764623430,Surgeon,1927-06-05,AZ00046,Arizona
B00021,C00287,L00266,9935534,Samantha,Phillips,Lake Andrewburgh,4745838383,Magician,1940-09-21,WI00020,Wisconsin
B00020,C00288,L00263,9325703,Jane,Caldwell,South Anna,8228813556,Housewife,1971-02-27,NY00019,New York
B00042,C00289,L00438,1003917,Aaron,Bates,South Susanside,3216481895,Lifeguard,1986-06-08,WY00041,Wyoming
B00012,C00291,L00318,7321602,Michelle,Hogan,Alvarezport,3836455359,Businessman,1921-10-18,NH00011,New Hampshire
B00028,C00296,L00242,4026618,Kimberly,Johnson,Bellshire,4809087756,Surgeon,1931-04-24,PR00027,Puerto Rico
B00044,C00300,L00046,4085396,Daniel,Diaz,New Rachelhaven,8335343919,Soldier,1943-03-18,NC00043,North Carolina
B00041,C00302,L00293,7599896,Nicholas,Mathews,South Andrea,8667129669,Police officer,1964-04-27,OR00040,Oregon
B00018,C00303,L00030,8146064,Donna,Allen,Port Gregorychester,9570444045,Cameraman,1931-10-11,LA00017,Louisiana
B00048,C00304,L00158,9972186,Laurie,Johnson,Port Janet,6485293178,Foreman,1930-09-05,DE00047,Delaware
B00027,C00305,L00106,6629976,John,Roman,South Matthewport,6352869747,Secretary,1992-07-30,VA00026,Virginia
B00020,C00307,L00298,5896737,Daniel,Morrison,North Joshuahaven,4161730709,Architect,1961-07-25,NY00019,New York
B00012,C00308,L00017,2882217,Christopher,Mcpherson,Johnsonmouth,6363030299,Pilot,1952-01-11,NH00011,New Hampshire
B00025,C00309,L00265,7694263,Adam,Mcgee,New Janetchester,2663056070,Waiter,1919-05-16,LA00024,Louisiana
B00049,C00312,L00408,3665044,Edgar,Sullivan,North Trevorland,3948930195,Reporter,1998-07-27,VA00048,Virginia
B00024,C00313,L00315,4943688,Michael,Lee,West Justin,2968908184,Pirate,1938-11-27,AL00023,Alabama
B00047,C00314,L00152,225786,Michael,Hall,East William,4598574888,Surgeon,1948-11-13,AZ00046,Arizona
B00023,C00316,L00038,7310232,Robin,Baird,Gonzalezbury,4008290972,Construction worker,1963-02-07,UT00022,Utah
B00010,C00317,L00199,4439453,Michael,Nelson,Petersonstad,5492870853,Housekeeper,1962-07-11,PA00009,Pennsylvania
B00007,C00318,L00437,5221935,Jordan,Scott,West Susan,6630362669,Lunchroom supervisor,1983-12-22,NY00006,New York
B00014,C00319,L00109,261694,Steven,Shields,Stewartview,4304659481,Scientist,1957-08-18,AL00013,Alabama
B00002,C00320,L00019,2229800,Anthony,Yates,Lake Danaview,3356291133,Waiter,1929-09-06,NE00001,Nebraska
B00023,C00323,L00208,2587520,Jose,Brown,New Tanyatown,3428799003,Farmer,1982-12-23,UT00022,Utah
B00019,C00324,L00422,555152,Marissa,Cain,Alvarezborough,1620042445,Salesman,1968-01-11,NM00018,New Mexico
B00009,C00328,L00445,8286695,Angela,Anderson,Ronaldside,8953160910,Journalist,1977-01-21,IA00008,Iowa
B00041,C00330,L00094,653621,Amanda,Frye,Port Derrickmouth,7788297347,Repairman,1970-08-21,OR00040,Oregon
B00007,C00331,L00405,6689056,Amanda,Heath,Jensenfurt,839163788,Electrician,1994-12-21,NY00006,New York
B00014,C00332,L00040,4337724,Danny,Leonard,Rodriguezchester,977319719,Priest,1970-01-07,AL00013,Alabama
B00024,C00335,L00306,5948883,Cindy,Luna,Robertmouth,2076871615,Waiter,1919-11-25,AL00023,Alabama
B00002,C00336,L00148,9092574,Linda,Nolan,Wardstad,9671638007,Repairman,2003-01-06,NE00001,Nebraska
B00010,C00338,L00097,3755725,Randy,Simpson,New Patrick,2436845484,Businessman,1998-01-14,PA00009,Pennsylvania
B00034,C00340,L00472,3977832,Randall,Moore,North Angela,7157634986,Magician,1968-07-26,IA00033,Iowa
B00033,C00341,L00001,6411642,Jacob,Johnson,Cookland,6896487297,Pilot,1987-05-18,TX00032,Texas
B00009,C00344,L00002,7470012,Kelly,Young,North Phillipbury,8976125426,Housekeeper,1928-09-29,IA00008,Iowa
B00029,C00348,L00279,5879725,Helen,Brown,Greenburgh,8935004817,Detective,1924-05-21,MN00028,Minnesota
B00018,C00349,L00060,2590634,Desiree,Gardner,Stanleyhaven,1712756397,Paramedic,2001-02-04,LA00017,Louisiana
B00027,C00350,L00301,9244133,Ryan,Wallace,Kimberlytown,5066913910,Lunchroom supervisor,1982-11-28,VA00026,Virginia
B00035,C00351,L00143,4043106,Anthony,Perkins,New Stanley,6812170094,Cameraman,2001-01-19,NC00034,North Carolina
B00043,C00352,L00470,612819,Danny,Mccormick,Williamsland,3263663652,American football player,1953-07-01,AK00042,Alaska
B00032,C00354,L00323,996971,Melissa,Spence,South Angelatown,533734490,Lifeguard,1972-01-09,RI00031,Rhode Island
B00006,C00356,L00221,2495554,Sherry,Smith,Port Davidbury,7285172007,Architect,1921-02-19,ME00005,Maine
B00029,C00359,L00099,3699868,Paul,Wilson,South Christian,579965191,Carpenter,1961-11-11,MN00028,Minnesota
B00030,C00360,L00463,4267791,Arthur,Randall,Jonmouth,5869179920,Repairman,1928-01-05,HI00029,Hawaii
B00034,C00361,L00344,1640792,Theresa,Hall,Hebertmouth,1753316846,Lunchroom supervisor,1930-08-29,IA00033,Iowa
B00021,C00362,L00020,7767855,Abigail,Smith,Mullinsville,9801154635,Pilot,1938-10-27,WI00020,Wisconsin
B00016,C00363,L00035,3067949,Haley,Blake,Smithmouth,5613206962,Secretary,1943-07-26,NM00015,New Mexico
B00030,C00365,L00391,5719188,Joseph,Mills,Paulville,342940297,Construction worker,2003-11-14,HI00029,Hawaii
B00009,C00366,L00163,3280650,Emily,Clark,Johnsonburgh,5016491038,Mechanic,1915-04-25,IA00008,Iowa
B00028,C00367,L00023,1211804,Connor,Wright,South Angelaport,8652096362,Fireman,1975-10-10,PR00027,Puerto Rico
B00012,C00368,L00426,4611815,Jessica,Miles,South Bethany,4244961209,Farmer,2002-09-18,NH00011,New Hampshire
B00041,C00370,L00029,5828369,Eric,Mcguire,New Christopher,4647185819,Paramedic,1937-09-03,OR00040,Oregon
B00019,C00376,L00092,6556505,Mary,Strong,New Amanda,428914589,Lunchroom supervisor,1947-01-15,NM00018,New Mexico
B00047,C00377,L00230,3121665,Michael,Morris,New Emilyberg,8715816993,Paramedic,1967-06-15,AZ00046,Arizona
B00031,C00378,L00161,996698,Michele,Hernandez,West Heatherberg,7725428977,Carpenter,1946-08-04,NH00030,New Hampshire
B00005,C00380,L00234,6746383,Cody,Huang,New Nathanielfort,9135794326,Housewife,1936-11-08,NV00004,Nevada
B00017,C00381,L00420,7848088,Kim,White,Lake Deanna,4975019101,Train conductor,1943-08-26,SD00016,South Dakota
B00025,C00382,L00494,6762503,Juan,Ali,Bishopview,7557102463,Housekeeper,1939-09-28,LA00024,Louisiana
B00031,C00384,L00189,7735656,Christopher,Anderson,West Lauren,2117273309,Carpenter,1922-06-05,NH00030,New Hampshire
B00040,C00386,L00031,1177728,April,Thompson,Lake Cathyfurt,8582075239,Police officer,1979-02-28,LA00039,Louisiana
B00018,C00387,L00444,1879614,Daniel,Andrade,Wangland,4853452576,Scientist,1937-08-09,LA00017,Louisiana
B00007,C00388,L00418,5328450,Jeff,Foster,Port Zacharymouth,8177939485,Paramedic,1951-11-08,NY00006,New York
B00034,C00391,L00045,6117505,Paul,Welch,South Jeffery,8337615786,Nurse,1977-04-02,IA00033,Iowa
B00022,C00393,L00498,8049699,Laura,Martinez,West Brittany,9590808224,Builder,1969-09-19,WA00021,Washington
B00034,C00394,L00253,1371758,Yolanda,Davis,New Jesseburgh,5301657129,Flight attendant,1958-06-12,IA00033,Iowa
B00042,C00395,L00397,8020687,Julie,Jenkins,West Amy,9687649028,Construction worker,1914-05-13,WY00041,Wyoming
B00047,C00396,L00342,722624,Carlos,Pearson,West Ann,500291475,Forest ranger,1950-09-28,AZ00046,Arizona
B00039,C00402,L00352,5822559,Judith,Bell,Garciafurt,3326885522,Paramedic,1928-12-14,CO00038,Colorado
B00006,C00413,L00292,601951,Herbert,Cox,Masseyland,9533493632,Mechanic,1995-12-17,ME00005,Maine
B00021,C00414,L00272,2627938,Michael,Jones,New Christopher,6552877610,Diver,1943-12-29,WI00020,Wisconsin
B00050,C00423,L00089,409676,Jessica,Reid,East Josemouth,8488759932,Scientist,1969-03-01,MO00049,Missouri
B00007,C00424,L00214,4505684,Steven,Conley,North Kelly,4377097359,Singer,1986-12-24,NY00006,New York
B00018,C00426,L00082,7505736,Emily,Deleon,Diazfort,5952291483,Architect,1913-08-30,LA00017,Louisiana
B00035,C00431,L00483,9761315,Peter,Martinez,Geraldtown,1272345448,Surgeon,1958-01-06,NC00034,North Carolina
B00004,C00434,L00239,4885745,Pamela,Schultz,Smithland,9121104329,Architect,1974-08-18,MO00003,Missouri
B00014,C00437,L00162,3539235,Rita,Riley,Reyesmouth,8540373501,Scientist,1930-08-28,AL00013,Alabama
B00033,C00438,L00203,3376916,Tonya,Lawson,Charlesville,5376539556,Architect,1975-06-15,TX00032,Texas
B00006,C00440,L00118,8032484,Suzanne,Stone,East Aaron,6415952717,Painter,1924-05-05,ME00005,Maine
B00012,C00446,L00168,5053004,Michael,Garcia,Lake Andrew,6866181202,Mechanic,1952-02-24,NH00011,New Hampshire
B00022,C00448,L00325,6155443,Sharon,Clark,Davisshire,9365265019,Doctor,1983-09-11,WA00021,Washington
B00004,C00449,L00369,4035061,Cynthia,Conley,Millermouth,2082426689,Fireman,1935-05-18,MO00003,Missouri
B00042,C00450,L00193,6606388,Rebecca,White,Figueroaville,5437901578,Footballer,1979-02-08,WY00041,Wyoming
B00017,C00452,L00201,3900977,Rebecca,Rodgers,Waltersbury,3095917660,Cameraman,1957-01-25,SD00016,South Dakota
